,% Dly Qt to Traded Qty,Average Price,Close Price,Date,Deliverable Qty,High Price,Last Price,Low Price,No. of Trades,Open Price,Prev Close,Series,Symbol,Total Traded Quantity,Turnover in Lacs
230,43.41,864.68,875.95,10-Dec-2009,2596375.0,878.0,876.95,844.3,-,855.3,855.3,EQ,ICICIBANK,5980496,51711.95
231,24.7,870.17,864.5,11-Dec-2009,1029682.0,887.7,865.3,853.35,-,887.7,875.95,EQ,ICICIBANK,4169206,36279.0
232,35.93,857.85,850.7,14-Dec-2009,1476663.0,868.65,849.0,847.5,-,858.5,864.5,EQ,ICICIBANK,4110283,35260.09
233,33.24,835.65,825.65,15-Dec-2009,1963076.0,856.9,826.0,824.0,-,844.4,850.7,EQ,ICICIBANK,5905145,49346.25
234,32.26,825.5,822.6,16-Dec-2009,1735928.0,835.7,825.75,814.35,-,817.0,825.65,EQ,ICICIBANK,5380362,44414.96
235,24.17,823.27,825.8,17-Dec-2009,1121593.0,831.9,823.9,813.0,-,821.0,822.6,EQ,ICICIBANK,4641365,38210.9
236,34.58,815.62,809.35,18-Dec-2009,1619072.0,824.4,805.5,804.1,-,816.9,825.8,EQ,ICICIBANK,4682076,38188.12
237,32.73,810.58,810.9,21-Dec-2009,1546399.0,818.9,809.35,800.5,-,809.0,809.35,EQ,ICICIBANK,4724759,38298.12
238,29.72,824.22,825.7,22-Dec-2009,890361.0,829.0,825.95,816.0,-,817.9,810.9,EQ,ICICIBANK,2995982,24693.35
239,28.44,851.0,862.6,23-Dec-2009,1160120.0,865.0,864.6,828.0,-,830.0,825.7,EQ,ICICIBANK,4079525,34716.91
240,25.58,862.77,864.9,24-Dec-2009,825950.0,871.9,865.0,855.0,-,865.0,862.6,EQ,ICICIBANK,3228487,27854.57
241,47.57,878.26,880.2,29-Dec-2009,1651493.0,884.0,879.5,864.9,-,864.9,864.9,EQ,ICICIBANK,3471780,30491.28
242,39.82,880.54,879.8,30-Dec-2009,1330251.0,888.65,881.6,872.8,-,880.0,880.2,EQ,ICICIBANK,3340755,29416.62
243,47.46,880.56,877.0,31-Dec-2009,1513916.0,889.7,880.0,868.3,-,884.9,879.8,EQ,ICICIBANK,3189984,28089.57
244,,880.17,879.7,04-Jan-2010,,885.0,879.0,875.0,-,877.0,877.0,EQ,ICICIBANK,1665852,14662.29
245,,888.62,888.05,05-Jan-2010,,899.75,887.25,881.5,-,888.0,879.7,EQ,ICICIBANK,2665454,23685.72
246,,899.55,894.85,06-Jan-2010,,907.35,894.0,890.1,-,895.0,888.05,EQ,ICICIBANK,3710919,33381.42
247,,884.02,886.4,07-Jan-2010,,896.75,887.0,876.5,-,896.75,894.85,EQ,ICICIBANK,1973143,17442.97
248,,877.3,873.95,08-Jan-2010,,890.0,876.0,871.0,-,889.1,886.4,EQ,ICICIBANK,3741988,32828.61
249,,874.13,869.4,11-Jan-2010,,881.8,868.6,865.95,-,878.0,873.95,EQ,ICICIBANK,3306304,28901.36
250,,851.39,842.75,12-Jan-2010,,872.0,843.2,840.0,-,869.4,869.4,EQ,ICICIBANK,4142170,35266.23
251,,831.67,840.65,13-Jan-2010,,844.2,838.75,821.65,-,821.65,842.75,EQ,ICICIBANK,5760883,47911.67
252,,848.83,835.3,14-Jan-2010,,861.0,836.0,831.2,-,847.0,840.65,EQ,ICICIBANK,6156026,52254.16
253,,840.48,842.45,15-Jan-2010,,848.6,840.0,830.45,-,840.25,835.3,EQ,ICICIBANK,3549441,29832.31
254,,855.97,863.35,18-Jan-2010,,868.8,862.9,830.3,-,834.0,842.45,EQ,ICICIBANK,4165370,35654.31
255,,868.57,865.5,19-Jan-2010,,876.0,865.0,859.0,-,864.0,863.35,EQ,ICICIBANK,3782571,32854.38
256,,877.53,877.95,20-Jan-2010,,884.6,874.8,868.95,-,869.8,865.5,EQ,ICICIBANK,4996526,43846.1
257,,854.59,852.7,21-Jan-2010,,873.0,850.8,842.3,-,869.85,877.95,EQ,ICICIBANK,6132204,52404.91
258,,836.91,840.7,22-Jan-2010,,847.0,844.0,820.85,-,829.0,852.7,EQ,ICICIBANK,5931119,49638.01
259,,830.81,830.8,25-Jan-2010,,839.15,830.15,825.25,-,831.6,840.7,EQ,ICICIBANK,2884574,23965.42
260,,798.03,787.3,27-Jan-2010,,827.4,780.55,780.0,-,820.0,830.8,EQ,ICICIBANK,6911548,55156.28
261,,790.88,788.05,28-Jan-2010,,807.8,790.1,779.25,-,800.0,787.3,EQ,ICICIBANK,10276194,81272.65
262,,811.37,830.35,29-Jan-2010,,839.0,829.55,775.0,-,775.0,788.05,EQ,ICICIBANK,10773920,87416.76
263,,835.12,835.8,01-Feb-2010,,848.4,833.3,815.0,-,820.1,830.35,EQ,ICICIBANK,5197735,43407.22
264,,828.11,819.0,02-Feb-2010,,842.45,817.55,815.8,-,841.0,835.8,EQ,ICICIBANK,5301734,43904.2
265,,836.55,839.45,03-Feb-2010,,845.0,842.0,823.25,-,825.1,819.0,EQ,ICICIBANK,3302936,27630.63
266,,837.52,828.8,04-Feb-2010,,849.0,832.0,825.5,-,834.8,839.45,EQ,ICICIBANK,3322918,27830.07
267,,799.02,798.15,05-Feb-2010,,809.8,798.6,790.0,-,809.8,828.8,EQ,ICICIBANK,4973182,39736.91
268,,799.97,801.3,06-Feb-2010,,805.0,801.4,792.5,-,800.5,798.15,EQ,ICICIBANK,607485,4859.69
269,,803.16,805.35,08-Feb-2010,,850.0,803.7,786.0,-,850.0,801.3,EQ,ICICIBANK,4176793,33546.41
270,,808.34,812.4,09-Feb-2010,,818.0,808.3,791.4,-,806.0,805.35,EQ,ICICIBANK,3795374,30679.68
271,,808.77,799.8,10-Feb-2010,,821.55,801.0,796.85,-,818.0,812.4,EQ,ICICIBANK,3500693,28312.41
272,,824.02,826.05,11-Feb-2010,,829.8,823.75,790.1,-,790.1,799.8,EQ,ICICIBANK,3562978,29359.76
273,,818.98,817.35,15-Feb-2010,,832.0,816.3,812.5,-,832.0,826.05,EQ,ICICIBANK,1936226,15857.27
274,,827.25,832.45,16-Feb-2010,,837.8,836.4,817.0,-,817.0,817.35,EQ,ICICIBANK,2051443,16970.51
275,,839.87,840.95,17-Feb-2010,,847.7,840.05,830.6,-,840.0,832.45,EQ,ICICIBANK,5134261,43121.27
276,,843.53,840.05,18-Feb-2010,,853.0,838.5,834.35,-,840.0,840.95,EQ,ICICIBANK,4611962,38903.11
277,,828.6,833.55,19-Feb-2010,,837.0,832.9,817.1,-,832.0,840.05,EQ,ICICIBANK,3322916,27533.82
278,,841.83,831.6,22-Feb-2010,,850.0,829.5,828.75,-,845.15,833.55,EQ,ICICIBANK,2294782,19318.07
279,,844.14,847.75,23-Feb-2010,,852.0,849.35,825.6,-,829.9,831.6,EQ,ICICIBANK,3763832,31772.04
280,,840.59,841.15,24-Feb-2010,,845.9,841.15,833.0,-,840.1,847.75,EQ,ICICIBANK,3109494,26138.04
281,,844.97,851.6,25-Feb-2010,,857.8,851.5,832.7,-,841.25,841.15,EQ,ICICIBANK,4353477,36785.74
282,,870.04,872.15,26-Feb-2010,,887.0,869.0,842.0,-,845.3,851.6,EQ,ICICIBANK,6456035,56170.01
283,,896.24,897.15,02-Mar-2010,,903.0,899.1,885.1,-,885.1,872.15,EQ,ICICIBANK,5140617,46072.3
284,,906.43,908.35,03-Mar-2010,,912.5,908.5,895.35,-,899.9,897.15,EQ,ICICIBANK,4562042,41351.67
285,,901.05,898.4,04-Mar-2010,,914.55,899.9,889.2,-,906.0,908.35,EQ,ICICIBANK,3204623,28875.34
286,,901.04,901.75,05-Mar-2010,,909.0,903.0,891.65,-,898.1,898.4,EQ,ICICIBANK,2713237,24447.47
287,,922.32,923.75,08-Mar-2010,,926.8,923.95,910.0,-,910.0,901.75,EQ,ICICIBANK,5871814,54156.67
288,,922.24,925.15,09-Mar-2010,,934.6,925.95,909.05,-,922.0,923.75,EQ,ICICIBANK,6192671,57111.11
289,,919.36,917.8,10-Mar-2010,,929.5,914.7,908.4,-,925.0,925.15,EQ,ICICIBANK,4034820,37094.39
290,,927.19,930.85,11-Mar-2010,,936.7,935.0,913.1,-,915.0,917.8,EQ,ICICIBANK,3844756,35648.07
291,,936.58,936.65,12-Mar-2010,,941.9,937.0,931.2,-,935.05,930.85,EQ,ICICIBANK,3725650,34893.53
292,,923.57,923.75,15-Mar-2010,,935.0,924.0,856.0,-,930.0,936.65,EQ,ICICIBANK,2952782,27271.08
293,,920.49,930.5,16-Mar-2010,,934.9,932.9,912.2,-,921.0,923.75,EQ,ICICIBANK,2633732,24243.29
294,,946.0,948.55,17-Mar-2010,,953.6,946.0,932.0,-,935.0,930.5,EQ,ICICIBANK,4202724,39757.6
295,,957.93,963.65,18-Mar-2010,,969.5,969.0,949.0,-,950.05,948.55,EQ,ICICIBANK,4717742,45192.62
296,,955.14,956.55,19-Mar-2010,,968.9,955.0,948.45,-,963.0,963.65,EQ,ICICIBANK,3267136,31205.74
297,,937.83,935.25,22-Mar-2010,,949.0,931.25,921.0,-,949.0,956.55,EQ,ICICIBANK,3652288,34252.38
298,,930.13,925.5,23-Mar-2010,,946.0,925.5,922.0,-,939.0,935.25,EQ,ICICIBANK,3672750,34161.47
299,,925.21,933.85,25-Mar-2010,,940.0,934.2,912.6,-,920.0,925.5,EQ,ICICIBANK,4820682,44601.67
300,,941.86,947.5,26-Mar-2010,,951.9,945.0,935.25,-,939.0,933.85,EQ,ICICIBANK,3917202,36894.64
301,,950.36,952.6,29-Mar-2010,,959.0,954.9,939.5,-,945.0,947.5,EQ,ICICIBANK,3983548,37858.05
302,,961.83,959.8,30-Mar-2010,,968.4,958.0,954.85,-,956.1,952.6,EQ,ICICIBANK,3376865,32479.78
303,,958.44,952.5,31-Mar-2010,,970.8,955.0,948.7,-,964.8,959.8,EQ,ICICIBANK,5134032,49206.54
304,,950.92,952.65,01-Apr-2010,,961.9,954.7,944.3,-,957.0,952.5,EQ,ICICIBANK,3607188,34301.45
305,,976.44,985.35,05-Apr-2010,,990.7,985.0,955.0,-,955.0,952.65,EQ,ICICIBANK,5138752,50176.88
306,,998.03,997.8,06-Apr-2010,,1009.7,997.65,985.35,-,991.9,985.35,EQ,ICICIBANK,5611666,56006.3
307,,994.42,987.35,07-Apr-2010,,1009.0,989.0,980.1,-,1002.7,997.8,EQ,ICICIBANK,3611538,35913.88
308,,971.0,961.1,08-Apr-2010,,988.0,959.8,957.7,-,982.2,987.35,EQ,ICICIBANK,4261707,41381.15
309,,974.53,978.3,09-Apr-2010,,981.95,978.9,962.0,-,962.3,961.1,EQ,ICICIBANK,2297644,22391.32
310,,968.75,964.65,12-Apr-2010,,984.9,961.25,961.25,-,980.0,978.3,EQ,ICICIBANK,3753582,36362.88
311,,946.71,942.2,13-Apr-2010,,966.5,942.0,940.35,-,964.65,964.65,EQ,ICICIBANK,3988314,37757.95
312,,931.94,918.0,15-Apr-2010,,957.9,920.15,915.3,-,947.8,942.2,EQ,ICICIBANK,5430802,50611.74
313,,927.21,922.45,16-Apr-2010,,936.9,920.0,915.3,-,917.0,918.0,EQ,ICICIBANK,4457721,41332.21
314,,916.07,919.8,19-Apr-2010,,926.55,921.25,902.55,-,913.8,922.45,EQ,ICICIBANK,4197377,38450.96
315,,934.38,933.0,20-Apr-2010,,945.0,935.8,920.0,-,922.0,919.8,EQ,ICICIBANK,4431773,41409.49
316,,946.85,951.9,21-Apr-2010,,954.5,951.0,939.0,-,939.95,933.0,EQ,ICICIBANK,3767697,35674.47
317,,952.79,943.85,22-Apr-2010,,964.65,941.55,935.15,-,945.5,951.9,EQ,ICICIBANK,4186575,39889.26
318,,967.64,977.7,23-Apr-2010,,979.8,978.75,945.0,-,949.0,943.85,EQ,ICICIBANK,4891115,47328.5
319,,969.79,960.15,26-Apr-2010,,998.15,960.6,958.4,-,980.1,977.7,EQ,ICICIBANK,5675067,55036.3
320,,952.16,946.95,27-Apr-2010,,960.0,945.5,935.15,-,958.0,960.15,EQ,ICICIBANK,2811092,26766.1
321,,927.49,919.45,28-Apr-2010,,940.95,921.5,913.4,-,931.3,946.95,EQ,ICICIBANK,3941820,36560.0
