,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
660,ICICIBANK,EQ,28-Aug-2015,282.45,285.05,289.3,281.65,284.45,283.7,285.5,13059781,37286.32,109444,6582344,50.4
661,ICICIBANK,EQ,31-Aug-2015,283.7,282.9,284.35,276.35,278.0,277.9,280.37,13709056,38435.81,157675,8429636,61.49
662,ICICIBANK,EQ,01-Sep-2015,277.9,275.0,278.45,268.3,271.35,270.95,272.84,15765853,43015.65,145195,7974104,50.58
663,ICICIBANK,EQ,02-Sep-2015,270.95,276.0,276.75,263.1,264.25,264.85,268.75,17114462,45994.42,129576,8500419,49.67
664,ICICIBANK,EQ,03-Sep-2015,264.85,268.65,269.8,261.7,267.1,266.85,267.29,15008352,40116.36,107010,7360240,49.04
665,ICICIBANK,EQ,04-Sep-2015,266.85,264.9,265.1,254.65,258.1,257.75,258.49,19641677,50772.56,140918,9480586,48.27
666,ICICIBANK,EQ,07-Sep-2015,257.75,260.05,261.25,247.7,249.0,249.1,254.29,19726124,50160.61,150880,10639991,53.94
667,ICICIBANK,EQ,08-Sep-2015,249.1,251.8,262.3,249.2,262.0,260.8,257.47,16636681,42833.92,249125,7186885,43.2
668,ICICIBANK,EQ,09-Sep-2015,260.8,267.95,269.0,262.65,263.3,264.55,265.61,22253367,59107.75,293884,13840263,62.19
669,ICICIBANK,EQ,10-Sep-2015,264.55,260.0,270.0,256.25,269.9,267.4,262.14,12471151,32692.18,208222,5670274,45.47
670,ICICIBANK,EQ,11-Sep-2015,267.4,267.35,269.9,264.4,266.8,267.55,266.78,13520762,36071.02,242951,7308947,54.06
671,ICICIBANK,EQ,14-Sep-2015,267.55,266.25,273.3,263.1,271.8,272.4,269.82,12091315,32625.3,187208,6075972,50.25
672,ICICIBANK,EQ,15-Sep-2015,272.4,273.0,273.0,266.8,268.5,268.9,269.17,13477936,36278.5,252138,6624274,49.15
673,ICICIBANK,EQ,16-Sep-2015,268.9,272.5,273.95,269.05,272.3,272.85,272.32,12160988,33117.3,214802,7117450,58.53
674,ICICIBANK,EQ,18-Sep-2015,272.85,278.25,285.35,274.8,275.4,277.85,281.2,19351204,54414.7,263511,10526451,54.4
675,ICICIBANK,EQ,21-Sep-2015,277.85,271.9,280.35,271.0,280.15,279.3,277.56,10463709,29043.01,83963,4968099,47.48
676,ICICIBANK,EQ,22-Sep-2015,279.3,278.0,280.35,269.1,269.9,270.55,275.46,13401118,36914.16,142036,7176781,53.55
677,ICICIBANK,EQ,23-Sep-2015,270.55,266.95,275.0,264.15,274.25,273.35,270.4,11353788,30700.65,126764,4661946,41.06
678,ICICIBANK,EQ,24-Sep-2015,273.35,271.4,273.6,267.0,268.1,268.3,270.3,9597480,25941.7,73813,4997763,52.07
679,ICICIBANK,EQ,28-Sep-2015,268.3,272.0,272.7,266.45,268.3,268.1,270.17,7783636,21028.94,62145,3181459,40.87
680,ICICIBANK,EQ,29-Sep-2015,268.1,263.7,272.65,256.35,268.85,269.0,265.93,26741476,71114.33,188572,11531333,43.12
681,ICICIBANK,EQ,30-Sep-2015,269.0,271.3,272.3,265.7,269.6,270.35,269.28,12455013,33539.31,115483,5851930,46.98
682,ICICIBANK,EQ,01-Oct-2015,270.35,273.45,273.45,266.05,267.0,267.1,269.16,6979888,18787.07,51759,2571484,36.84
683,ICICIBANK,EQ,05-Oct-2015,267.1,272.4,282.0,272.4,281.2,280.95,277.22,12506147,34669.02,111567,6293069,50.32
684,ICICIBANK,EQ,06-Oct-2015,280.95,284.0,284.85,280.0,282.8,282.75,282.52,9542951,26960.72,71171,4580299,48.0
685,ICICIBANK,EQ,07-Oct-2015,282.75,280.9,283.8,277.2,282.55,283.0,280.81,7059730,19824.65,75032,2399490,33.99
686,ICICIBANK,EQ,08-Oct-2015,283.0,282.4,282.4,277.15,279.0,278.45,278.9,6045032,16859.55,48536,2281658,37.74
687,ICICIBANK,EQ,09-Oct-2015,278.45,281.5,287.9,280.55,286.4,286.1,285.64,10093239,28829.96,91340,4573453,45.31
688,ICICIBANK,EQ,12-Oct-2015,286.1,287.7,291.5,285.25,286.75,287.6,288.71,7174781,20714.3,59479,3072961,42.83
689,ICICIBANK,EQ,13-Oct-2015,287.6,285.9,289.7,284.5,287.2,287.45,287.27,5547304,15935.62,37873,2729928,49.21
690,ICICIBANK,EQ,14-Oct-2015,287.45,283.45,285.2,281.95,282.9,282.9,283.46,4841297,13723.13,51909,2008952,41.5
691,ICICIBANK,EQ,15-Oct-2015,282.9,284.0,287.0,283.65,286.2,286.35,285.73,6144899,17557.89,56116,3098656,50.43
692,ICICIBANK,EQ,16-Oct-2015,286.35,286.5,292.7,282.55,289.45,290.05,287.23,8082353,23214.76,66116,4120905,50.99
693,ICICIBANK,EQ,19-Oct-2015,290.05,289.4,289.9,285.6,286.95,287.2,287.76,5279028,15190.86,43600,2635843,49.93
694,ICICIBANK,EQ,20-Oct-2015,287.2,286.5,289.5,284.3,285.55,286.2,287.35,7918471,22753.75,65101,4559525,57.58
695,ICICIBANK,EQ,21-Oct-2015,286.2,285.55,287.85,278.8,281.9,282.7,282.96,5105608,14446.66,54801,1810276,35.46
696,ICICIBANK,EQ,23-Oct-2015,282.7,285.95,289.0,284.65,286.0,286.25,286.76,7462082,21398.52,60591,4003627,53.65
697,ICICIBANK,EQ,26-Oct-2015,286.25,287.75,289.75,283.75,285.25,285.35,285.9,5532303,15816.65,54582,2433490,43.99
698,ICICIBANK,EQ,27-Oct-2015,285.35,284.0,285.9,282.1,283.75,283.7,283.93,5536672,15720.07,110703,3122610,56.4
699,ICICIBANK,EQ,28-Oct-2015,283.7,280.0,280.7,269.1,272.85,271.2,273.85,14093806,38596.27,131224,7836179,55.6
700,ICICIBANK,EQ,29-Oct-2015,271.2,272.3,274.3,270.35,272.75,271.45,272.24,8213879,22361.32,72077,3714750,45.23
701,ICICIBANK,EQ,30-Oct-2015,271.45,272.25,279.65,270.5,276.85,277.0,275.38,25112269,69153.5,176672,10702232,42.62
702,ICICIBANK,EQ,02-Nov-2015,277.0,277.0,281.3,275.7,278.8,279.55,279.38,10362208,28949.67,85525,4585675,44.25
703,ICICIBANK,EQ,03-Nov-2015,279.55,280.4,282.7,278.2,278.9,279.45,280.7,8254353,23170.07,72299,4348554,52.68
704,ICICIBANK,EQ,04-Nov-2015,279.45,280.95,280.95,272.5,273.4,273.35,276.63,6718121,18584.07,67805,2936110,43.7
705,ICICIBANK,EQ,05-Nov-2015,273.35,272.0,273.5,268.75,270.2,270.05,270.55,10384095,28094.16,86516,5822727,56.07
706,ICICIBANK,EQ,06-Nov-2015,270.05,269.9,269.9,264.75,266.85,267.1,267.25,11019582,29449.83,71263,5855027,53.13
707,ICICIBANK,EQ,09-Nov-2015,267.1,259.3,265.0,256.0,263.0,263.15,261.54,12225680,31975.26,97541,5350378,43.76
708,ICICIBANK,EQ,10-Nov-2015,263.15,261.5,266.4,260.45,262.4,262.8,264.02,7866087,20767.86,58896,3373826,42.89
709,ICICIBANK,EQ,11-Nov-2015,262.8,263.65,266.0,262.75,264.5,263.75,264.34,2623594,6935.12,20358,1202108,45.82
710,ICICIBANK,EQ,13-Nov-2015,263.75,260.35,263.0,259.0,263.0,261.75,261.39,9237186,24145.19,92368,5517003,59.73
711,ICICIBANK,EQ,16-Nov-2015,261.75,261.0,268.35,259.6,267.4,267.25,265.72,8174888,21722.42,67160,3285074,40.18
712,ICICIBANK,EQ,17-Nov-2015,267.25,271.7,272.35,265.05,267.0,267.85,268.88,16327000,43900.81,123576,8277113,50.7
713,ICICIBANK,EQ,18-Nov-2015,267.85,267.0,268.25,259.5,260.45,260.45,262.96,8636961,22711.81,72817,3836487,44.42
714,ICICIBANK,EQ,19-Nov-2015,260.45,263.0,268.0,262.6,265.95,266.4,265.83,8744206,23244.47,64523,4262432,48.75
715,ICICIBANK,EQ,20-Nov-2015,266.4,264.6,270.25,263.5,264.9,264.95,267.57,8927101,23886.64,54556,4341844,48.64
716,ICICIBANK,EQ,23-Nov-2015,264.95,266.0,267.75,257.3,265.65,265.95,264.83,11577811,30661.57,57067,5560255,48.03
717,ICICIBANK,EQ,24-Nov-2015,265.95,263.35,265.4,259.65,263.1,263.35,263.67,10705182,28226.85,94784,5399671,50.44
718,ICICIBANK,EQ,26-Nov-2015,263.35,263.25,267.7,263.25,264.75,264.0,265.84,12050313,32035.12,97760,7855249,65.19
719,ICICIBANK,EQ,27-Nov-2015,264.0,265.75,271.0,264.4,270.3,270.05,268.87,10553108,28374.21,59636,5431427,51.47
720,ICICIBANK,EQ,30-Nov-2015,270.05,268.2,277.5,268.2,273.55,274.75,274.79,15026362,41290.26,145211,9424068,62.72
721,ICICIBANK,EQ,01-Dec-2015,274.75,275.05,276.75,273.3,274.5,273.9,274.92,6003369,16504.51,57340,2461356,41.0
722,ICICIBANK,EQ,02-Dec-2015,273.9,274.55,275.4,268.55,270.15,270.4,270.86,6510057,17632.87,60291,3291086,50.55
723,ICICIBANK,EQ,03-Dec-2015,270.4,268.65,270.05,265.1,265.75,265.8,267.56,7772067,20794.73,55910,3967412,51.05
724,ICICIBANK,EQ,04-Dec-2015,265.8,263.05,264.0,260.8,262.25,261.45,262.07,8259643,21645.76,71996,4827332,58.44
725,ICICIBANK,EQ,07-Dec-2015,261.45,264.3,264.55,261.6,263.4,263.05,262.9,5020673,13199.35,65136,2679028,53.36
726,ICICIBANK,EQ,08-Dec-2015,263.05,261.75,262.5,259.65,261.0,261.45,261.19,10567477,27601.12,118348,7601909,71.94
727,ICICIBANK,EQ,09-Dec-2015,261.45,260.8,261.95,258.4,260.2,259.45,259.69,7390693,19192.93,56154,4013508,54.3
728,ICICIBANK,EQ,10-Dec-2015,259.45,260.85,261.9,256.0,258.65,258.95,258.49,10048370,25974.23,96529,6139254,61.1
729,ICICIBANK,EQ,11-Dec-2015,258.95,260.55,261.1,247.15,249.9,249.3,251.33,17137429,43071.45,153250,9453023,55.16
730,ICICIBANK,EQ,14-Dec-2015,249.3,247.3,251.95,245.0,248.0,249.0,249.3,12072472,30097.12,165270,6615967,54.8
731,ICICIBANK,EQ,15-Dec-2015,249.0,247.9,247.9,243.05,245.7,246.4,245.48,12432325,30518.37,121109,7055980,56.76
732,ICICIBANK,EQ,16-Dec-2015,246.4,247.25,253.5,243.65,252.7,252.05,250.98,17168449,43089.82,111853,10604783,61.77
733,ICICIBANK,EQ,17-Dec-2015,252.05,253.95,255.3,250.1,253.9,253.15,252.59,16083907,40625.71,90467,9875477,61.4
734,ICICIBANK,EQ,18-Dec-2015,253.15,252.1,253.0,249.85,250.1,250.1,251.38,13137031,33023.67,86758,9348326,71.16
735,ICICIBANK,EQ,21-Dec-2015,250.1,250.1,259.5,250.0,257.55,258.2,257.27,13007000,33462.52,106146,7245754,55.71
736,ICICIBANK,EQ,22-Dec-2015,258.2,256.5,263.5,256.45,258.45,259.55,260.72,19402698,50585.91,124933,12058711,62.15
737,ICICIBANK,EQ,23-Dec-2015,259.55,259.6,262.95,259.1,262.25,261.85,261.54,10485419,27424.05,74172,6644911,63.37
738,ICICIBANK,EQ,24-Dec-2015,261.85,263.0,263.6,257.3,258.5,257.95,259.76,5543060,14398.5,67332,2700056,48.71
739,ICICIBANK,EQ,28-Dec-2015,257.95,260.05,265.0,260.0,264.0,264.05,263.63,10947077,28860.24,86580,7102338,64.88
740,ICICIBANK,EQ,29-Dec-2015,264.05,264.0,266.5,261.5,265.75,264.75,264.38,8231563,21762.61,67551,4064891,49.38
741,ICICIBANK,EQ,30-Dec-2015,264.75,263.25,264.45,261.75,262.5,262.35,262.75,9114150,23947.52,64046,5991223,65.74
742,ICICIBANK,EQ,31-Dec-2015,262.35,262.1,263.85,260.15,261.0,261.35,262.56,7769495,20399.94,43641,4880032,62.81
