,% Dly Qt to Traded Qty,Average Price,Close Price,Date,Deliverable Qty,High Price,Last Price,Low Price,No. of Trades,Open Price,Prev Close,Series,Symbol,Total Traded Quantity,Turnover in Lacs
0,24.21,899.75,897.45,02-Jan-2007,83689.0,906.5,895.25,888.0,-,892.0,891.5,EQ,ICICIBANK,345636,3109.86
1,34.67,895.07,894.55,03-Jan-2007,164331.0,909.75,892.5,886.35,-,909.75,897.45,EQ,ICICIBANK,473971,4242.36
2,41.66,898.66,890.5,04-Jan-2007,455383.0,909.0,888.0,886.0,-,895.0,894.55,EQ,ICICIBANK,1093166,9823.85
3,52.61,910.97,910.1,05-Jan-2007,1040444.0,919.0,909.0,890.0,-,890.0,890.5,EQ,ICICIBANK,1977554,18014.97
4,100.0,924.83,916.5,05-Jan-2007,550299.0,925.0,0.0,916.5,-,925.0,805.0,IL,ICICIBANK,550299,5089.35
5,58.51,905.17,906.3,08-Jan-2007,668861.0,917.0,905.05,897.55,-,917.0,910.1,EQ,ICICIBANK,1143112,10347.16
6,63.76,908.06,912.35,09-Jan-2007,1260605.0,918.0,916.0,903.2,-,905.2,906.3,EQ,ICICIBANK,1977216,17954.37
7,41.74,891.44,883.85,10-Jan-2007,590775.0,915.0,885.0,872.2,-,909.95,912.35,EQ,ICICIBANK,1415339,12616.83
8,53.16,883.49,892.35,11-Jan-2007,1193638.0,909.95,908.0,872.2,-,890.0,883.85,EQ,ICICIBANK,2245257,19836.71
9,100.0,915.0,915.0,11-Jan-2007,2744847.0,915.0,0.0,915.0,-,915.0,916.5,IL,ICICIBANK,2744847,25115.35
10,36.71,948.64,972.3,12-Jan-2007,806008.0,979.8,965.0,911.0,-,915.0,892.35,EQ,ICICIBANK,2195695,20829.3
11,20.17,965.31,957.85,15-Jan-2007,133112.0,984.0,956.0,955.0,-,977.8,972.3,EQ,ICICIBANK,660076,6371.76
12,100.0,977.7,977.7,15-Jan-2007,132822.0,977.7,0.0,977.7,-,977.7,915.0,IL,ICICIBANK,132822,1298.6
13,41.43,957.94,960.05,16-Jan-2007,576862.0,969.95,961.7,949.1,-,964.85,957.85,EQ,ICICIBANK,1392225,13336.63
