,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,ICICIBANK,EQ,03-Jan-2005,371.35,375.0,375.0,370.15,373.5,371.35,372.94,412258,1537.49,-,     186076,         45.14
1,ICICIBANK,EQ,04-Jan-2005,371.35,371.55,377.0,368.1,376.0,373.9,371.71,377665,1403.8,-,     149678,         39.63
2,ICICIBANK,EQ,05-Jan-2005,373.9,375.1,379.0,345.05,360.0,361.75,364.29,866607,3156.95,-,     355623,         41.04
3,ICICIBANK,EQ,06-Jan-2005,361.75,360.0,362.4,351.0,351.1,353.4,356.61,665493,2373.21,-,     180794,         27.17
4,ICICIBANK,EQ,07-Jan-2005,353.4,350.0,361.95,350.0,358.75,358.7,357.56,276307,987.96,-,      65106,         23.56
5,ICICIBANK,EQ,10-Jan-2005,358.7,360.0,361.9,346.3,348.0,348.9,354.87,335125,1189.27,-,     110368,         32.93
6,ICICIBANK,EQ,11-Jan-2005,348.9,349.8,354.0,342.1,351.9,350.75,349.84,398496,1394.12,-,     109257,         27.42
7,ICICIBANK,EQ,12-Jan-2005,350.75,350.0,354.0,340.6,348.05,345.1,345.83,400171,1383.93,-,     129483,         32.36
8,ICICIBANK,EQ,13-Jan-2005,345.1,350.0,356.9,347.2,355.8,354.05,352.67,406457,1433.44,-,     158402,         38.97
9,ICICIBANK,EQ,14-Jan-2005,354.05,358.9,358.9,347.65,352.0,351.15,352.99,522200,1843.32,-,     188668,         36.13
10,ICICIBANK,EQ,17-Jan-2005,351.15,359.8,359.8,347.05,353.6,352.1,351.25,811950,2851.96,-,     195735,         24.11
11,ICICIBANK,EQ,18-Jan-2005,352.1,355.0,356.85,348.65,352.0,351.0,352.28,460606,1622.64,-,     152906,         33.20
12,ICICIBANK,EQ,19-Jan-2005,351.0,355.0,358.8,350.25,351.2,351.6,353.88,350813,1241.47,-,      90473,         25.79
13,ICICIBANK,EQ,20-Jan-2005,351.6,351.0,353.0,325.2,345.1,346.2,344.88,400291,1380.53,-,     113887,         28.45
14,ICICIBANK,EQ,24-Jan-2005,346.2,350.0,351.0,336.1,336.1,338.55,340.91,441341,1504.58,-,     186800,         42.33
15,ICICIBANK,EQ,25-Jan-2005,338.55,339.0,346.7,330.0,346.0,343.55,337.05,572465,1929.5,-,     201459,         35.19
16,ICICIBANK,EQ,27-Jan-2005,343.55,346.95,346.95,335.6,339.0,337.5,340.49,1369491,4663.03,-,     817821,         59.72
17,ICICIBANK,EQ,28-Jan-2005,337.5,344.0,349.1,339.0,347.65,348.05,345.23,594041,2050.8,-,     270218,         45.49
18,ICICIBANK,EQ,31-Jan-2005,348.05,350.0,362.9,347.25,361.9,360.9,357.24,668268,2387.35,-,     189931,         28.42
19,ICICIBANK,EQ,01-Feb-2005,360.9,363.0,368.0,358.15,360.5,361.8,362.03,504522,1826.5,-,     143822,         28.51
20,ICICIBANK,EQ,02-Feb-2005,361.8,361.0,370.0,361.0,367.6,366.05,366.86,744279,2730.45,-,     248170,         33.34
21,ICICIBANK,EQ,03-Feb-2005,366.05,369.45,371.3,363.5,370.6,369.65,369.26,481859,1779.29,-,     180451,         37.45
22,ICICIBANK,EQ,04-Feb-2005,369.65,371.5,373.75,363.1,366.0,365.7,367.36,394267,1448.39,-,     148300,         37.61
23,ICICIBANK,EQ,07-Feb-2005,365.7,366.0,370.4,359.25,361.6,361.1,366.4,406703,1490.18,-,     185840,         45.69
24,ICICIBANK,EQ,08-Feb-2005,361.1,363.0,365.5,358.0,364.6,362.8,362.16,357318,1294.06,-,     111873,         31.31
25,ICICIBANK,EQ,09-Feb-2005,362.8,365.0,369.0,362.1,367.5,366.45,366.31,423118,1549.93,-,     166325,         39.31
26,ICICIBANK,EQ,10-Feb-2005,366.45,366.5,378.5,365.55,378.0,374.7,371.68,713821,2653.12,-,     307476,         43.07
27,ICICIBANK,EQ,11-Feb-2005,374.7,376.25,379.65,372.25,374.0,374.9,375.76,553033,2078.09,-,     212233,         38.38
28,ICICIBANK,EQ,14-Feb-2005,374.9,378.75,384.5,378.0,380.6,380.8,381.52,903158,3445.72,-,     444170,         49.18
29,ICICIBANK,EQ,15-Feb-2005,380.8,382.0,387.0,380.85,383.45,383.15,383.71,819304,3143.71,-,     373873,         45.63
