,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,ICICIBANK,EQ,01-Jan-2016,261.35,261.3,263.6,258.0,262.55,263.0,261.32,5452815,14249.22,36204,2325779,42.65
1,ICICIBANK,EQ,04-Jan-2016,263.0,261.0,261.35,254.65,256.0,255.55,256.72,8577993,22021.67,65648,3511013,40.93
2,ICICIBANK,EQ,05-Jan-2016,255.55,256.25,257.5,251.7,257.05,256.7,255.06,8151798,20791.72,69866,3117799,38.25
3,ICICIBANK,EQ,06-Jan-2016,256.7,255.4,256.75,249.2,250.2,250.1,252.45,15832892,39969.41,104952,8635277,54.54
4,ICICIBANK,EQ,07-Jan-2016,250.1,246.4,247.7,243.1,247.1,246.75,245.24,16582466,40667.15,111225,10098888,60.9
5,ICICIBANK,EQ,08-Jan-2016,246.75,244.5,247.8,243.45,245.5,245.05,245.98,13094901,32210.37,117773,7291929,55.69
6,ICICIBANK,EQ,11-Jan-2016,245.05,241.9,243.9,238.05,239.95,239.45,240.74,12916971,31095.95,96722,6792844,52.59
7,ICICIBANK,EQ,12-Jan-2016,239.45,241.0,241.85,235.6,238.1,236.75,237.64,10814454,25699.07,78790,5898979,54.55
8,ICICIBANK,EQ,13-Jan-2016,236.75,237.8,242.9,231.1,238.45,239.5,236.96,16559737,39239.38,96609,8068397,48.72
9,ICICIBANK,EQ,14-Jan-2016,239.5,234.2,239.8,231.8,235.5,235.75,235.65,13273438,31278.92,114269,6898760,51.97
10,ICICIBANK,EQ,15-Jan-2016,235.75,235.6,236.3,221.75,225.4,224.45,228.2,20303548,46333.33,117226,12510671,61.62
11,ICICIBANK,EQ,18-Jan-2016,224.45,224.2,228.7,217.8,224.1,223.1,223.2,27490009,61357.74,120788,17301676,62.94
12,ICICIBANK,EQ,19-Jan-2016,223.1,224.65,231.25,224.65,229.8,228.75,229.01,14747672,33773.5,85563,8901868,60.36
13,ICICIBANK,EQ,20-Jan-2016,228.75,224.9,227.9,220.1,226.4,224.4,222.71,13048617,29060.11,113329,7123726,54.59
14,ICICIBANK,EQ,21-Jan-2016,224.4,228.5,233.5,224.2,226.7,226.3,228.22,14241694,32502.03,101704,5537010,38.88
15,ICICIBANK,EQ,22-Jan-2016,226.3,232.6,234.9,229.8,232.8,232.75,232.65,13771384,32038.57,132067,6582698,47.8
16,ICICIBANK,EQ,25-Jan-2016,232.75,235.95,238.5,234.2,237.1,236.05,236.45,15579335,36836.95,134888,9331956,59.9
17,ICICIBANK,EQ,27-Jan-2016,236.05,238.0,239.3,234.7,236.8,237.3,236.86,11050510,26174.33,83490,5829927,52.76
18,ICICIBANK,EQ,28-Jan-2016,237.3,238.55,239.55,231.25,233.25,233.2,233.73,22052879,51545.11,99705,15118329,68.55
19,ICICIBANK,EQ,29-Jan-2016,233.2,219.0,234.3,219.0,229.0,230.15,225.8,43414086,98031.09,298923,23478727,54.08
20,ICICIBANK,EQ,01-Feb-2016,230.15,227.0,227.35,215.9,217.2,217.2,221.01,36723378,81163.41,248741,26385820,71.85
21,ICICIBANK,EQ,02-Feb-2016,217.2,218.0,219.7,209.7,210.5,210.4,214.72,28928563,62116.07,198093,13620732,47.08
22,ICICIBANK,EQ,03-Feb-2016,210.4,207.0,208.8,202.55,204.1,204.05,205.85,21447535,44150.73,120248,10234163,47.72
23,ICICIBANK,EQ,04-Feb-2016,204.05,206.4,206.4,200.5,204.4,203.95,204.01,28062871,57250.1,137697,16482880,58.74
24,ICICIBANK,EQ,05-Feb-2016,203.95,205.5,211.0,203.6,210.8,209.4,207.2,32899434,68168.53,133646,20304891,61.72
25,ICICIBANK,EQ,08-Feb-2016,209.4,211.0,215.5,206.15,206.35,208.55,211.85,17605529,37296.58,126639,8397081,47.7
26,ICICIBANK,EQ,09-Feb-2016,208.55,204.0,211.5,200.75,209.4,209.4,207.55,19006075,39446.24,128422,9338877,49.14
27,ICICIBANK,EQ,10-Feb-2016,209.4,203.1,209.5,202.0,207.5,207.25,204.94,20674662,42370.42,129325,10804472,52.26
28,ICICIBANK,EQ,11-Feb-2016,207.25,203.75,206.95,198.0,200.0,199.25,201.78,28924651,58365.39,166509,16721471,57.81
